  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000   2.000   0.300   0.001   0.001
   0.025   2.000   0.286   0.000   0.001
   0.050   2.000   0.251   0.000   0.001
   0.075   2.000   0.230   0.000   0.001
   0.100   2.000   0.225   0.000   0.001
   0.125   2.000   0.228   0.000   0.002
   0.150   2.000   0.237   0.001   0.005
   0.175   2.000   0.249   0.002   0.012
   0.200   2.000   0.262   0.003   0.028
   0.225   5.000   0.276   0.006   0.053
   0.250   6.000   0.290   0.009   0.082
   0.275   6.000   0.303   0.011   0.113
   0.300   7.000   0.317   0.013   0.141
   0.325   7.000   0.330   0.014   0.166
   0.350   7.000   0.342   0.014   0.188
   0.375   7.000   0.353   0.014   0.207
   0.400   6.000   0.363   0.013   0.223
   0.425   6.000   0.372   0.012   0.238
   0.450   6.000   0.381   0.011   0.250
   0.475   6.000   0.388   0.009   0.261
   0.500   6.000   0.395   0.008   0.271
   0.525   7.000   0.401   0.007   0.279
   0.550   9.000   0.407   0.005   0.287
   0.575   9.000   0.412   0.004   0.293
   0.600   9.000   0.413   0.003   0.294
   0.625   9.000   0.414   0.003   0.294
   0.650   9.000   0.415   0.002   0.295
   0.675   9.000   0.416   0.002   0.295
   0.700   9.000   0.416   0.001   0.296
   0.725   9.000   0.417   0.001   0.296
   0.750   9.000   0.417   0.001   0.296
   0.775   9.000   0.418   0.001   0.296
   0.800  10.000   0.418   0.000   0.297
   0.825  10.000   0.418   0.000   0.297
   0.850  11.000   0.419   0.000   0.297
   0.875  11.000   0.419   0.000   0.297
   0.900  12.000   0.419   0.000   0.298
   0.925  12.000   0.419   0.000   0.298
   0.950  12.000   0.420   0.000   0.298
   0.975  12.000   0.420   0.000   0.298
   1.000  13.000   0.420   0.000   0.298
