  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000   3.000   0.098   0.007   0.000
   0.025   3.000   0.092   0.009   0.000
   0.050   3.000   0.078   0.007   0.000
   0.075   3.000   0.069   0.006   0.000
   0.100   3.000   0.068   0.006   0.000
   0.125   3.000   0.069   0.009   0.000
   0.150   3.000   0.074   0.015   0.000
   0.175   3.000   0.081   0.026   0.001
   0.200   3.000   0.091   0.044   0.001
   0.225   4.000   0.103   0.068   0.002
   0.250   4.000   0.117   0.096   0.003
   0.275   4.000   0.132   0.124   0.004
   0.300   4.000   0.147   0.152   0.004
   0.325   4.000   0.162   0.178   0.005
   0.350   4.000   0.175   0.201   0.005
   0.375   4.000   0.187   0.222   0.005
   0.400   4.000   0.198   0.240   0.005
   0.425   4.000   0.207   0.257   0.004
   0.450   4.000   0.216   0.271   0.004
   0.475   4.000   0.223   0.285   0.004
   0.500   4.000   0.221   0.285   0.003
   0.525   4.000   0.218   0.285   0.003
   0.550   4.000   0.216   0.285   0.003
   0.575   4.000   0.213   0.284   0.003
   0.600   4.000   0.211   0.283   0.003
   0.625   4.000   0.208   0.283   0.003
   0.650   4.000   0.205   0.282   0.003
   0.675   4.000   0.203   0.281   0.003
   0.700   4.000   0.200   0.279   0.003
   0.725   4.000   0.197   0.278   0.004
   0.750   4.000   0.195   0.277   0.004
   0.775   4.000   0.192   0.275   0.005
   0.800   4.000   0.189   0.274   0.005
   0.825   4.000   0.187   0.273   0.006
   0.850   3.000   0.184   0.271   0.007
   0.875   3.000   0.181   0.270   0.007
   0.900   3.000   0.179   0.268   0.008
   0.925   3.000   0.177   0.267   0.009
   0.950   3.000   0.174   0.265   0.010
   0.975   3.000   0.172   0.264   0.011
   1.000   3.000   0.170   0.262   0.011
