  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000   4.000   0.057   0.011   0.000
   0.025   4.000   0.048   0.009   0.000
   0.050   4.000   0.045   0.010   0.000
   0.075   4.000   0.045   0.013   0.000
   0.100   4.000   0.050   0.020   0.000
   0.125   4.000   0.057   0.034   0.001
   0.150   4.000   0.068   0.057   0.001
   0.175   4.000   0.083   0.089   0.002
   0.200   4.000   0.100   0.126   0.002
   0.225   4.000   0.119   0.166   0.003
   0.250   4.000   0.137   0.205   0.005
   0.275   4.000   0.154   0.241   0.006
   0.300   4.000   0.168   0.275   0.008
   0.325   4.000   0.180   0.305   0.010
   0.350   4.000   0.188   0.331   0.012
   0.375   4.000   0.194   0.351   0.016
   0.400   4.000   0.196   0.363   0.019
   0.425   4.000   0.195   0.368   0.023
   0.450   4.000   0.194   0.368   0.027
   0.475   4.000   0.191   0.366   0.031
   0.500   4.000   0.188   0.361   0.035
   0.525   4.000   0.182   0.354   0.038
   0.550   5.000   0.176   0.347   0.042
   0.575   5.000   0.170   0.340   0.046
   0.600   6.000   0.165   0.333   0.050
   0.625   6.000   0.160   0.326   0.054
   0.650   7.000   0.155   0.318   0.057
   0.675   7.000   0.150   0.311   0.061
   0.700   7.000   0.146   0.304   0.064
   0.725   8.000   0.142   0.298   0.067
   0.750   8.000   0.138   0.291   0.070
   0.775   7.000   0.134   0.285   0.073
   0.800   7.000   0.131   0.279   0.075
   0.825   7.000   0.128   0.274   0.077
   0.850   7.000   0.125   0.268   0.079
   0.875   7.000   0.123   0.264   0.080
   0.900   7.000   0.122   0.260   0.082
   0.925   7.000   0.120   0.256   0.083
   0.950   7.000   0.120   0.253   0.083
   0.975   7.000   0.120   0.250   0.084
   1.000   8.000   0.121   0.246   0.083
