  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  23.000   0.208   0.206   0.414
   0.025  24.000   0.214   0.213   0.427
   0.050  26.000   0.216   0.218   0.436
   0.075  26.000   0.216   0.222   0.441
   0.100  28.000   0.214   0.224   0.442
   0.125  26.000   0.209   0.222   0.437
   0.150  27.000   0.202   0.216   0.424
   0.175  27.000   0.191   0.206   0.403
   0.200  27.000   0.179   0.193   0.378
   0.225  28.000   0.165   0.179   0.350
   0.250  29.000   0.153   0.166   0.324
   0.275  28.000   0.141   0.153   0.299
   0.300  28.000   0.131   0.142   0.278
   0.325  28.000   0.122   0.132   0.259
   0.350  28.000   0.114   0.124   0.242
   0.375  28.000   0.107   0.116   0.227
   0.400  29.000   0.101   0.110   0.215
   0.425  28.000   0.096   0.104   0.203
   0.450  27.000   0.092   0.098   0.193
   0.475  27.000   0.088   0.093   0.184
   0.500  28.000   0.085   0.089   0.176
   0.525  27.000   0.083   0.085   0.169
   0.550  27.000   0.084   0.085   0.170
   0.575  27.000   0.085   0.086   0.171
   0.600  28.000   0.086   0.087   0.173
   0.625  25.000   0.088   0.088   0.176
   0.650  25.000   0.089   0.090   0.179
   0.675  26.000   0.091   0.092   0.183
   0.700  25.000   0.093   0.094   0.187
   0.725  25.000   0.095   0.096   0.191
   0.750  25.000   0.098   0.098   0.196
   0.775  26.000   0.100   0.100   0.200
   0.800  27.000   0.103   0.102   0.204
   0.825  26.000   0.105   0.104   0.209
   0.850  25.000   0.108   0.106   0.213
   0.875  25.000   0.111   0.108   0.217
   0.900  27.000   0.114   0.110   0.222
   0.925  27.000   0.117   0.112   0.226
   0.950  27.000   0.119   0.114   0.231
   0.975  29.000   0.122   0.116   0.235
   1.000  29.000   0.125   0.118   0.239
