  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  30.000   0.225   0.214   0.434
   0.025  30.000   0.226   0.217   0.439
   0.050  28.000   0.223   0.219   0.440
   0.075  28.000   0.218   0.219   0.438
   0.100  26.000   0.211   0.217   0.431
   0.125  26.000   0.203   0.211   0.418
   0.150  27.000   0.195   0.201   0.399
   0.175  30.000   0.185   0.191   0.378
   0.200  29.000   0.173   0.179   0.355
   0.225  28.000   0.161   0.168   0.331
   0.250  28.000   0.149   0.155   0.307
   0.275  29.000   0.137   0.144   0.284
   0.300  29.000   0.127   0.133   0.263
   0.325  29.000   0.118   0.124   0.244
   0.350  29.000   0.110   0.116   0.228
   0.375  29.000   0.104   0.109   0.215
   0.400  28.000   0.098   0.103   0.203
   0.425  27.000   0.093   0.098   0.193
   0.450  27.000   0.089   0.094   0.185
   0.475  27.000   0.085   0.090   0.178
   0.500  27.000   0.082   0.087   0.171
   0.525  27.000   0.079   0.084   0.166
   0.550  27.000   0.076   0.082   0.161
   0.575  27.000   0.077   0.083   0.162
   0.600  29.000   0.077   0.083   0.163
   0.625  29.000   0.077   0.084   0.163
   0.650  29.000   0.077   0.084   0.164
   0.675  30.000   0.078   0.084   0.164
   0.700  27.000   0.078   0.084   0.165
   0.725  27.000   0.078   0.084   0.165
   0.750  28.000   0.079   0.084   0.165
   0.775  28.000   0.080   0.084   0.166
   0.800  28.000   0.080   0.084   0.167
   0.825  28.000   0.081   0.085   0.167
   0.850  26.000   0.082   0.085   0.168
   0.875  26.000   0.083   0.085   0.169
   0.900  27.000   0.084   0.086   0.170
   0.925  27.000   0.085   0.086   0.172
   0.950  26.000   0.087   0.087   0.174
   0.975  25.000   0.088   0.088   0.177
   1.000  27.000   0.090   0.090   0.179
