  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000   2.000   0.139   0.000   0.000
   0.025   2.000   0.127   0.000   0.000
   0.050   2.000   0.125   0.000   0.000
   0.075   2.000   0.133   0.001   0.000
   0.100   2.000   0.151   0.002   0.001
   0.125   2.000   0.169   0.006   0.003
   0.150   3.000   0.160   0.010   0.005
   0.175   3.000   0.149   0.014   0.008
   0.200   4.000   0.145   0.020   0.012
   0.225   6.000   0.148   0.031   0.019
   0.250   6.000   0.155   0.045   0.028
   0.275   6.000   0.166   0.061   0.039
   0.300   6.000   0.178   0.077   0.051
   0.325   6.000   0.191   0.093   0.063
   0.350   6.000   0.203   0.108   0.073
   0.375   6.000   0.214   0.122   0.083
   0.400   6.000   0.224   0.135   0.091
   0.425   7.000   0.233   0.146   0.099
   0.450   7.000   0.240   0.157   0.105
   0.475   7.000   0.247   0.167   0.110
   0.500   7.000   0.246   0.169   0.109
   0.525   7.000   0.245   0.171   0.107
   0.550   7.000   0.244   0.173   0.106
   0.575   7.000   0.243   0.175   0.104
   0.600   7.000   0.242   0.178   0.102
   0.625   7.000   0.240   0.181   0.100
   0.650   6.000   0.239   0.185   0.098
   0.675   6.000   0.237   0.188   0.095
   0.700   6.000   0.236   0.192   0.092
   0.725   6.000   0.234   0.196   0.089
   0.750   6.000   0.232   0.200   0.086
   0.775   5.000   0.231   0.205   0.083
   0.800   5.000   0.229   0.209   0.079
   0.825   5.000   0.227   0.214   0.075
   0.850   5.000   0.226   0.218   0.071
   0.875   6.000   0.224   0.223   0.066
   0.900   6.000   0.222   0.227   0.062
   0.925   6.000   0.221   0.232   0.057
   0.950   6.000   0.219   0.236   0.052
   0.975   6.000   0.218   0.240   0.048
   1.000   6.000   0.216   0.244   0.043
