  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  22.000   0.191   0.188   0.377
   0.025  19.000   0.187   0.189   0.376
   0.050  19.000   0.189   0.197   0.389
   0.075  20.000   0.192   0.204   0.401
   0.100  22.000   0.195   0.209   0.410
   0.125  23.000   0.197   0.211   0.414
   0.150  23.000   0.198   0.212   0.416
   0.175  21.000   0.198   0.211   0.414
   0.200  21.000   0.196   0.208   0.409
   0.225  21.000   0.192   0.203   0.400
   0.250  21.000   0.185   0.196   0.385
   0.275  21.000   0.176   0.186   0.367
   0.300  21.000   0.166   0.176   0.346
   0.325  21.000   0.156   0.166   0.326
   0.350  21.000   0.146   0.156   0.307
   0.375  21.000   0.138   0.147   0.289
   0.400  23.000   0.130   0.139   0.274
   0.425  23.000   0.123   0.133   0.260
   0.450  23.000   0.118   0.126   0.248
   0.475  23.000   0.113   0.121   0.237
   0.500  23.000   0.108   0.116   0.228
   0.525  23.000   0.104   0.112   0.219
   0.550  23.000   0.104   0.112   0.219
   0.575  22.000   0.104   0.112   0.219
   0.600  21.000   0.104   0.112   0.219
   0.625  21.000   0.104   0.112   0.219
   0.650  21.000   0.104   0.112   0.219
   0.675  21.000   0.104   0.112   0.219
   0.700  21.000   0.104   0.111   0.219
   0.725  21.000   0.104   0.111   0.218
   0.750  21.000   0.104   0.111   0.218
   0.775  21.000   0.104   0.111   0.218
   0.800  21.000   0.103   0.111   0.217
   0.825  21.000   0.103   0.111   0.217
   0.850  21.000   0.103   0.111   0.217
   0.875  23.000   0.103   0.110   0.216
   0.900  23.000   0.103   0.110   0.216
   0.925  23.000   0.103   0.110   0.216
   0.950  23.000   0.102   0.110   0.215
   0.975  23.000   0.102   0.110   0.215
   1.000  23.000   0.102   0.110   0.215
