  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  21.000   0.189   0.204   0.399
   0.025  19.000   0.196   0.210   0.411
   0.050  19.000   0.202   0.212   0.419
   0.075  18.000   0.207   0.213   0.423
   0.100  20.000   0.212   0.219   0.434
   0.125  21.000   0.214   0.224   0.443
   0.150  21.000   0.214   0.226   0.445
   0.175  21.000   0.212   0.225   0.442
   0.200  21.000   0.207   0.221   0.434
   0.225  22.000   0.200   0.214   0.420
   0.250  22.000   0.190   0.204   0.401
   0.275  22.000   0.180   0.194   0.379
   0.300  23.000   0.170   0.182   0.357
   0.325  23.000   0.160   0.172   0.336
   0.350  23.000   0.151   0.162   0.317
   0.375  23.000   0.142   0.153   0.300
   0.400  23.000   0.135   0.145   0.285
   0.425  22.000   0.129   0.138   0.271
   0.450  22.000   0.123   0.132   0.259
   0.475  22.000   0.118   0.127   0.249
   0.500  23.000   0.119   0.128   0.250
   0.525  23.000   0.119   0.128   0.251
   0.550  23.000   0.119   0.129   0.253
   0.575  23.000   0.120   0.130   0.253
   0.600  23.000   0.120   0.130   0.254
   0.625  21.000   0.120   0.131   0.255
   0.650  21.000   0.121   0.131   0.256
   0.675  21.000   0.121   0.132   0.257
   0.700  21.000   0.121   0.132   0.258
   0.725  21.000   0.122   0.133   0.259
   0.750  21.000   0.122   0.133   0.260
   0.775  21.000   0.123   0.134   0.261
   0.800  21.000   0.123   0.134   0.262
   0.825  21.000   0.124   0.135   0.263
   0.850  21.000   0.124   0.135   0.265
   0.875  21.000   0.125   0.136   0.266
   0.900  21.000   0.126   0.137   0.267
   0.925  22.000   0.127   0.137   0.268
   0.950  22.000   0.127   0.138   0.270
   0.975  23.000   0.128   0.139   0.271
   1.000  22.000   0.129   0.139   0.273
