TEXTURE AT STRAIN =    1.0000
   2.796   2.835   0.103  <-- length of phase ellipsoid axes
  149.89   78.93 -165.20  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
  163.73   28.16 -156.62   0.0003500
