TEXTURE AT STRAIN =    0.3500
   1.935   2.508   0.177  <-- length of phase ellipsoid axes
  -44.80    1.71  175.53  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
  138.66   54.48 -135.66   0.0003500
