  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  10.000   0.002   0.005   0.004
   0.025  10.000   0.001   0.004   0.003
   0.050   9.000   0.001   0.003   0.002
   0.075   8.000   0.001   0.003   0.002
   0.100   8.000   0.001   0.004   0.003
   0.125   9.000   0.001   0.006   0.005
   0.150  10.000   0.003   0.010   0.009
   0.175  10.000   0.005   0.017   0.016
   0.200  10.000   0.010   0.027   0.026
   0.225  10.000   0.016   0.040   0.040
   0.250  10.000   0.024   0.056   0.057
   0.275  10.000   0.033   0.073   0.078
   0.300  10.000   0.042   0.091   0.101
   0.325  10.000   0.050   0.108   0.125
   0.350  10.000   0.058   0.124   0.148
   0.375  11.000   0.064   0.137   0.170
   0.400  11.000   0.070   0.148   0.189
   0.425  11.000   0.070   0.146   0.189
   0.450  11.000   0.070   0.145   0.190
   0.475  11.000   0.070   0.143   0.189
   0.500  11.000   0.070   0.142   0.189
   0.525  11.000   0.070   0.142   0.189
   0.550  11.000   0.070   0.141   0.188
   0.575  11.000   0.070   0.141   0.188
   0.600  11.000   0.070   0.141   0.187
   0.625  11.000   0.071   0.142   0.186
   0.650  11.000   0.071   0.142   0.185
   0.675  11.000   0.071   0.143   0.184
   0.700  11.000   0.072   0.143   0.182
   0.725  11.000   0.072   0.144   0.181
   0.750  11.000   0.073   0.145   0.179
   0.775  11.000   0.073   0.145   0.178
   0.800  11.000   0.074   0.146   0.176
   0.825  10.000   0.074   0.147   0.174
   0.850  10.000   0.075   0.149   0.172
   0.875  10.000   0.075   0.150   0.170
   0.900  10.000   0.076   0.151   0.169
   0.925  10.000   0.076   0.152   0.167
   0.950  10.000   0.077   0.153   0.164
   0.975  10.000   0.077   0.154   0.162
   1.000  10.000   0.078   0.155   0.160
