  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000   2.000   0.202   0.005   0.001
   0.025   2.000   0.178   0.004   0.001
   0.050   2.000   0.160   0.005   0.001
   0.075   2.000   0.150   0.006   0.001
   0.100   2.000   0.129   0.005   0.001
   0.125   3.000   0.112   0.005   0.001
   0.150   3.000   0.106   0.007   0.001
   0.175   3.000   0.106   0.013   0.002
   0.200   3.000   0.110   0.024   0.004
   0.225   4.000   0.118   0.041   0.008
   0.250   4.000   0.129   0.063   0.012
   0.275   5.000   0.142   0.088   0.017
   0.300   6.000   0.155   0.114   0.022
   0.325   6.000   0.169   0.138   0.026
   0.350   6.000   0.181   0.160   0.029
   0.375   6.000   0.192   0.181   0.031
   0.400   6.000   0.203   0.200   0.033
   0.425   6.000   0.212   0.217   0.033
   0.450   5.000   0.220   0.232   0.033
   0.475   4.000   0.227   0.247   0.031
   0.500   4.000   0.225   0.249   0.029
   0.525   4.000   0.223   0.251   0.026
   0.550   4.000   0.222   0.254   0.023
   0.575   4.000   0.220   0.256   0.021
   0.600   4.000   0.218   0.259   0.018
   0.625   4.000   0.216   0.261   0.016
   0.650   4.000   0.214   0.263   0.015
   0.675   4.000   0.212   0.264   0.013
   0.700   4.000   0.210   0.266   0.011
   0.725   4.000   0.208   0.267   0.010
   0.750   4.000   0.206   0.268   0.009
   0.775   4.000   0.204   0.269   0.008
   0.800   4.000   0.202   0.270   0.007
   0.825   4.000   0.200   0.271   0.007
   0.850   4.000   0.198   0.271   0.006
   0.875   4.000   0.195   0.271   0.006
   0.900   4.000   0.193   0.271   0.005
   0.925   4.000   0.191   0.271   0.005
   0.950   4.000   0.188   0.271   0.005
   0.975   4.000   0.186   0.271   0.005
   1.000   4.000   0.183   0.270   0.005
